,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Market Sizes | Historical/Forecast,,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2017,2018,2019,2020,2021,2022,2023
Azerbaijan,HW Soft Drinks - modelled,Retail Volume,million litres,-,176.4,190.2,207.7,220.7,232.5,248.7,267.1
Azerbaijan,HW Soft Drinks - modelled,Retail Value RSP,AZN million,Current Prices,264.6,308.6,354.8,382.1,420.9,469.1,528.9
Azerbaijan,Soft Drinks,Off-trade Volume,million litres,-,465.4,514.7,571.7,583.3,651.2,708.3,751.9
Azerbaijan,Soft Drinks,Off-trade Value RSP,AZN million,Current Prices,542.0,617.7,701.3,723.7,846.5,"1,059.1","1,244.2"
Azerbaijan,Bottled Water,Off-trade Volume,million litres,-,187.3,194.3,203.6,219.4,234.4,252.1,265.5
Azerbaijan,Bottled Water,Off-trade Value RSP,AZN million,Current Prices,123.0,131.7,138.0,150.0,167.0,197.7,224.0
Azerbaijan,Carbonates,Off-trade Volume,million litres,-,216.6,247.6,284.8,278.4,316.9,342.1,359.5
Azerbaijan,Carbonates,Off-trade Value RSP,AZN million,Current Prices,234.2,270.8,313.6,311.0,366.5,460.9,532.8
Azerbaijan,Regular Carbonates - modelled,Off-trade Volume,million litres,-,209.6,239.6,275.3,264.8,299.5,322.5,337.8
Azerbaijan,Regular Carbonates - modelled,Off-trade Value RSP,AZN million,Current Prices,226.4,261.7,302.7,294.8,345.3,433.9,498.2
Azerbaijan,Reduced Sugar Carbonates - modelled,Off-trade Volume,million litres,-,7.0,8.1,9.4,13.6,17.5,19.6,21.7
Azerbaijan,Reduced Sugar Carbonates - modelled,Off-trade Value RSP,AZN million,Current Prices,7.8,9.1,10.9,16.2,21.2,27.0,34.5
Azerbaijan,Concentrates,Off-trade Volume,million litres,-,3.2,3.3,3.3,3.3,3.2,3.2,3.1
Azerbaijan,Concentrates,Off-trade Value RSP,AZN million,Current Prices,28.0,29.1,29.6,30.1,29.8,33.0,35.4
Azerbaijan,Juice,Off-trade Volume,million litres,-,14.6,15.0,15.4,13.8,14.7,14.9,15.3
Azerbaijan,Juice,Off-trade Value RSP,AZN million,Current Prices,24.6,26.9,29.0,25.9,28.6,32.8,36.6
Azerbaijan,RTD Coffee,Off-trade Volume,million litres,-,0.1,0.1,0.1,0.1,0.1,0.1,0.2
Azerbaijan,RTD Coffee,Off-trade Value RSP,AZN million,Current Prices,0.7,0.8,0.8,0.8,0.9,1.3,1.6
Azerbaijan,RTD Tea,Off-trade Volume,million litres,-,13.1,15.9,17.4,17.4,17.9,18.5,19.2
Azerbaijan,RTD Tea,Off-trade Value RSP,AZN million,Current Prices,31.1,31.7,34.7,35.7,36.9,43.0,48.5
Azerbaijan,Energy Drinks,Off-trade Volume,million litres,-,30.5,38.4,47.1,50.9,63.9,77.3,89.2
Azerbaijan,Energy Drinks,Off-trade Value RSP,AZN million,Current Prices,100.5,126.7,155.6,170.3,216.7,290.5,365.4
Azerbaijan,Sports Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Azerbaijan,Sports Drinks,Off-trade Value RSP,AZN million,Current Prices,-,-,-,-,-,-,-
Azerbaijan,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Azerbaijan,Asian Speciality Drinks,Off-trade Value RSP,AZN million,Current Prices,-,-,-,-,-,-,-
Bangladesh,Soft Drinks,Off-trade Volume,million litres,-,583.7,624.5,667.5,614.2,630.1,654.2,697.5
Bangladesh,Soft Drinks,Off-trade Value RSP,BDT million,Current Prices,"46,257.7","50,425.0","54,823.4","50,850.6","52,830.8","64,715.2","61,201.6"
Bangladesh,Bottled Water,Off-trade Volume,million litres,-,22.7,25.4,28.3,31.8,32.3,34.8,37.9
Bangladesh,Bottled Water,Off-trade Value RSP,BDT million,Current Prices,650.8,741.0,840.2,959.7,989.1,"1,188.4","1,211.9"
Bangladesh,Carbonates,Off-trade Volume,million litres,-,373.9,401.1,429.3,395.0,404.1,416.5,442.8
Bangladesh,Carbonates,Off-trade Value RSP,BDT million,Current Prices,"30,633.3","33,228.3","35,985.2","33,466.3","34,461.4","40,821.1","38,561.1"
Bangladesh,Regular Carbonates - modelled,Off-trade Volume,million litres,-,253.7,271.4,289.6,265.6,272.7,282.4,302.4
Bangladesh,Regular Carbonates - modelled,Off-trade Value RSP,BDT million,Current Prices,"15,609.4","16,855.2","18,187.6","16,846.1","17,442.4","20,867.6","19,917.3"
Bangladesh,Reduced Sugar Carbonates - modelled,Off-trade Volume,million litres,-,120.2,129.7,139.7,129.4,131.4,134.1,140.3
Bangladesh,Reduced Sugar Carbonates - modelled,Off-trade Value RSP,BDT million,Current Prices,"15,023.9","16,373.1","17,797.6","16,620.2","17,019.0","19,953.5","18,643.8"
