,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Pack Type | Historical/Forecast,,,,,,,,,,,,
Geography,Category,Packaging Class,Pack Type,Data Type,Unit,2017,2018,2019,2020,2021,2022,2023
Argentina,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"10,689.6","10,428.7","9,461.4","9,792.2","9,944.8","10,355.8","10,700.4"
Austria,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"1,874.1","1,929.6","1,984.1","2,072.0","2,145.2","2,087.7","2,064.9"
Australia,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"6,078.5","6,226.7","6,310.1","6,405.7","6,580.3","6,697.9","6,803.1"
Belgium,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"3,476.7","3,564.1","3,505.8","3,725.0","3,678.0","3,691.6","3,704.0"
Brazil,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"29,303.2","29,706.0","30,345.9","29,190.5","30,681.1","32,387.1","33,590.7"
Canada,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"11,911.1","12,023.1","12,154.0","12,489.1","12,472.7","12,471.1","12,637.7"
Switzerland,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"2,082.1","2,101.1","2,093.6","2,165.7","2,174.5","2,186.3","2,201.7"
Chile,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"4,621.3","4,530.3","4,830.2","4,844.0","5,710.4","6,127.4","6,443.8"
China,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"135,973.1","141,199.2","146,672.6","142,639.2","150,729.0","158,475.2","166,177.7"
Colombia,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"9,038.5","9,261.4","9,207.6","8,937.9","10,144.4","11,576.9","11,753.1"
Germany,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"24,497.3","25,289.3","24,916.8","25,067.1","24,816.0","24,888.9","25,147.4"
Denmark,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,899.0,926.5,952.3,"1,020.9","1,120.7","1,177.6","1,210.7"
Spain,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"12,365.5","12,441.4","12,840.0","13,103.8","13,047.4","13,085.6","13,113.8"
Finland,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,966.1,"1,033.3","1,045.7","1,114.3","1,181.0","1,230.3","1,282.1"
France,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"15,150.2","15,648.2","15,433.3","15,335.3","15,364.2","15,717.0","15,973.6"
United Kingdom,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"14,765.0","15,183.1","15,428.6","15,724.9","16,240.6","16,533.9","16,719.2"
Greece,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"1,332.7","1,379.5","1,459.4","1,616.4","1,686.6","1,675.1","1,679.2"
"Hong Kong, China",Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"1,939.3","1,966.1","1,988.6","1,833.3","1,902.2","1,907.8","1,982.3"
Indonesia,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"46,242.1","47,396.1","49,088.5","42,304.2","43,425.2","44,835.4","46,334.0"
Ireland,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"1,070.2","1,103.5","1,146.5","1,243.9","1,281.7","1,304.4","1,334.5"
India,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"20,271.2","22,691.6","25,532.4","23,540.7","25,451.7","28,170.4","31,022.3"
Israel,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"2,094.1","2,069.4","2,047.1","2,109.9","2,132.2","1,916.0","1,871.8"
Italy,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"14,781.4","14,435.5","14,422.2","13,598.1","14,218.9","14,572.4","14,727.3"
Japan,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"49,859.2","51,176.5","50,858.2","48,061.6","49,200.0","50,237.4","50,599.8"
South Korea,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"9,035.8","9,829.8","10,190.1","10,930.0","11,881.1","12,920.7","13,641.3"
Mexico,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"33,234.5","33,793.6","34,699.5","34,509.3","35,340.8","36,723.1","37,851.2"
Malaysia,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"3,833.6","3,882.9","3,974.0","3,959.4","3,824.9","3,929.2","3,995.8"
Netherlands,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"3,601.5","3,739.6","3,794.9","3,800.2","3,846.9","3,822.5","3,896.6"
Norway,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"1,034.4","1,042.9","1,073.2","1,290.0","1,420.1","1,386.6","1,365.3"
New Zealand,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,582.1,593.9,604.4,665.5,737.7,768.9,773.0
Philippines,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"17,399.1","16,060.6","16,086.1","15,091.7","15,120.6","15,841.1","16,576.2"
Portugal,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"2,052.7","2,086.8","2,112.1","2,196.2","2,307.7","2,372.3","2,390.6"
